""	"rateTrain"	"rateAirplane"	"Attractiveness"	"ManipDest"	"ManipInfo"	"ManipTax"	"PreferTrain"	"PreferAirplane"	"ImportPrice"	"ImportTime"	"ImportComfort"	"SchipholTrain"	"SchipholCar"	"CO2Comp"	"CO2Comp5E"	"CO2Comp7E"	"CO2CompMax"	"Nep01"	"Nep02"	"Nep03"	"Nep04"	"Nep05"	"Bif01"	"Bif02"	"Bif03"	"Bif04"	"Bif05"	"Bif06"	"Bif07"	"Guilt01"	"Guilt02"	"Guilt03"	"Guilt04"	"Guilt05"	"Big01"	"Big02"	"Big03"	"Big04"	"Big05"	"Big06"	"Big07"	"Big08"	"Big09"	"Big10"	"dGender"	"YrBirth"	"dIBA"	"SatFac"	"HrPWork"	"HrVWork"	"HrClass"	"HrStud"	"cLiving"	"cLocate"	"dPreMas"	"dSports"	"dFraternity"	"dAssoc"	"dAbroad"	"CheckDest"	"CheckInfo"	"CheckTax"	"avgEnvironBelief"	"avgGuiltFeel"	"avgPersonal"	"f.ManipInfo"
"310"	40	100	70	"Londen"	1	1	30	80	85	65	85	2	5	1	1	2	5	6	3	1	2	7	2	1	2	1	1	2	1	2	3	2	1	2	3	4	2	4	3	4	3	4	2	3	1	2000	2	65	0	0	20	30	2	1	2	1	2	2	1	1	2	1	6.2	3.6	3.75	"Yes"
"311"	20	82	8	"Marseille"	1	2	29	73	73	54	15	2	1	1	1	1	30	2	7	5	6	3	2	1	2	1	1	1	1	1	1	1	1	1	3	5	2	3	4	2	2	4	4	4	1	2000	1	92	16	0	8	10	3	4	2	2	2	2	2	3	2	2	2.2	3.4	3.375	"Yes"
"312"	32	43	52	"Berlin"	2	3	68	27	26	50	42	2	3	1	1	1	50	6	3	3	5	7	2	1	2	1	1	1	1	3	5	4	2	2	4	4	2	3	4	4	3	4	4	3	2	1999	1	68	7	0	2	30	1	4	2	2	1	2	2	1	2	1	5.2	3.6	3.25	"No"
"313"	20	73	30	"Londen"	2	1	41	60	79	50	63	4	4	2	1	2	5	4	1	2	1	7	2	1	1	1	1	1	1	4	2	3	2	2	3	3	3	2	3	2	3	3	4	3	1	2000	1	55	25	0	8	10	3	4	2	2	2	2	2	1	1	1	6.2	3.4	2.625	"No"
"314"	25	89	94	"Londen"	2	2	79	42	83	35	63	2	1	2	2	2	1	6	5	4	6	6	1	1	2	2	2	1	2	1	3	4	3	5	3	4	2	3	2	2	2	3	4	2	2	1999	1	61	20	0	8	4	4	2	2	2	2	2	2	1	1	2	4.2	2	3.125	"No"
"315"	0	100	70	"Berlin"	2	3	30	80	50	75	70	4	4	2	2	2	0	7	1	2	4	3	2	2	2	1	2	2	2	1	1	5	5	5	4	3	4	5	5	3	4	3	3	4	1	2000	1	70	2	0	10	2	1	2	2	1	2	2	2	2	1	3	5.4	1	2.875	"No"
"316"	25	75	75	"Londen"	2	3	50	50	32	70	53	3	4	1	1	1	15	7	2	3	3	6	2	1	1	1	1	1	1	1	3	5	3	5	4	4	2	5	5	4	3	4	2	2	1	2000	2	70	10	0	10	25	3	1	2	1	2	1	2	1	1	3	5.8	1.8	3.75	"No"
"317"	49	51	20	"Londen"	2	2	51	49	50	50	75	2	2	2	2	2	0	7	7	5	5	4	1	1	2	1	1	1	1	2	3	3	3	5	4	5	2	2	4	4	3	5	4	5	1	1999	1	85	20	0	12	10	3	4	2	1	2	2	1	1	2	2	3.6	2.4	3.375	"No"
"318"	40	80	100	"Londen"	1	2	50	50	70	70	81	2	5	1	1	1	15	6	1	3	5	7	2	1	1	1	2	2	2	3	4	2	1	3	4	5	1	4	5	4	1	5	5	4	2	1999	2	80	8	0	20	28	2	1	2	2	2	1	1	1	2	2	5.6	3.8	3.875	"Yes"
"319"	3	97	70	"Berlin"	2	2	10	90	50	50	50	4	3	2	1	2	5	5	4	5	6	6	2	1	2	1	1	1	1	1	2	4	4	5	3	5	2	3	2	5	3	4	2	4	1	1998	1	75	12	20	8	30	3	3	1	1	2	2	1	2	1	2	4	1.6	3.875	"No"
"320"	6	94	75	"Londen"	1	1	71	57	99	73	28	4	4	1	1	1	10	5	2	1	5	6	2	1	2	1	1	1	1	1	2	4	4	5	4	4	1	5	4	5	1	4	1	4	1	1999	2	72	15	0	5	8	3	1	2	1	2	2	1	1	1	1	5.4	1.6	4.375	"Yes"
"321"	10	80	70	"Londen"	2	2	60	40	80	80	10	4	2	1	1	1	15	7	2	1	6	7	1	1	1	1	2	1	2	4	3	3	2	2	5	4	3	3	2	4	3	4	5	5	1	1999	1	60	0	0	8	20	1	4	2	1	2	2	2	1	1	2	5.8	3.6	2.875	"No"
"322"	0	100	80	"Londen"	2	3	10	75	35	70	70	3	2	1	1	1	10	6	5	2	5	5	2	1	2	1	2	1	1	1	1	2	4	5	3	4	3	4	3	5	3	4	2	4	1	1999	1	75	15	0	6	10	3	1	2	2	2	2	2	1	1	3	4.6	1.8	3.75	"No"
"323"	0	100	40	"Marseille"	2	2	50	50	75	48	67	2	3	2	1	1	24	3	6	4	6	3	1	1	1	1	1	1	1	1	2	3	3	2	2	4	2	4	1	5	3	4	3	4	1	1999	1	70	12	1	8	10	3	1	2	2	2	1	2	3	1	2	2.8	2.6	3.875	"No"
"324"	0	100	78	"Berlin"	2	3	NA	100	66	73	79	4	3	2	2	2	0	6	2	6	6	6	2	2	1	1	2	2	2	4	1	5	5	5	5	5	2	4	4	4	4	4	2	4	1	1998	1	89	15	0	10	5	3	3	2	1	2	2	1	2	2	3	4.4	1.6	3.5	"No"
"325"	10	100	95	"Londen"	1	3	50	80	80	70	70	1	3	2	2	2	2	4	3	3	5	5	1	1	2	1	1	1	1	1	1	4	4	4	1	2	3	4	2	5	3	4	2	3	2	1997	1	75	16	0	14	8	1	5	1	1	2	2	1	1	1	3	4.4	1.6	3.75	"Yes"
"326"	71	87	91	"Marseille"	2	1	94	45	67	67	60	1	1	1	1	1	20	6	6	1	4	7	2	1	2	1	2	1	1	1	4	3	1	2	2	5	2	5	1	5	3	5	2	5	1	1999	1	74	16	10	4	8	2	1	2	2	2	1	1	3	1	1	5.2	3.4	4.375	"No"
"327"	11	77	8	"Marseille"	2	2	50	50	100	77	39	2	5	1	1	1	15	6	1	1	5	6	2	1	2	1	2	1	2	1	4	3	4	4	1	5	3	5	5	5	2	4	1	5	1	2000	2	83	0	4	8	6	2	1	2	2	2	2	1	3	1	2	5.8	2.4	4.5	"No"
"328"	0	85	59	"Marseille"	2	3	55	50	73	40	51	4	4	1	1	1	20	6	1	2	3	7	1	1	2	1	1	2	1	3	5	2	2	3	2	2	3	1	4	4	1	4	4	5	2	2000	1	93	0	3	8	20	3	2	2	1	2	2	2	3	1	1	6.2	3.8	3.125	"No"
"329"	50	75	50	"Marseille"	2	2	80	50	100	76	5	4	4	2	1	2	5	6	3	2	5	6	2	1	2	2	2	2	2	2	4	4	3	5	4	2	1	1	4	3	4	5	4	5	2	1998	1	95	20	2	18	25	3	4	2	2	2	2	2	3	1	2	5.2	2.4	2.75	"No"
"330"	72	61	85	"Berlin"	1	3	63	41	92	82	25	2	2	1	1	1	15	5	4	2	5	6	2	1	1	1	1	1	2	1	2	4	1	5	3	5	2	2	2	5	1	4	4	4	2	2001	1	75	8	0	12	30	1	1	2	2	1	1	2	2	1	3	4.8	2.2	3.75	"Yes"
"331"	30	100	80	"Londen"	2	1	35	75	80	90	75	1	3	2	1	2	5	5	3	1	4	7	2	2	1	1	1	2	2	2	2	4	3	5	4	5	2	2	2	2	3	4	3	3	2	1997	1	68	9	0	8	10	3	2	2	2	2	2	1	1	1	1	5.6	2	3.125	"No"
"332"	20	80	41	"Berlin"	1	2	20	81	50	75	69	1	3	2	2	2	1	3	2	4	3	6	2	1	2	1	2	2	1	1	1	5	5	5	1	5	2	3	4	5	3	3	1	5	1	1998	1	73	20	0	10	20	3	1	2	1	2	2	2	2	1	2	4.8	1	4.125	"Yes"
"333"	20	80	61	"Londen"	1	2	82	9	66	65	54	3	2	1	1	1	25	6	2	2	5	7	1	2	2	1	1	1	1	1	3	4	2	4	1	4	2	4	4	5	2	4	2	5	1	1996	1	83	20	0	8	20	3	2	1	1	2	2	1	1	2	2	5.6	2.4	4.25	"Yes"
"334"	30	75	92	"Londen"	1	2	14	85	85	60	80	3	4	2	2	2	2	6	5	5	6	3	2	1	1	1	1	1	1	1	1	4	4	4	4	4	4	5	2	4	2	4	4	2	1	1998	1	75	16	0	10	10	3	4	2	1	2	2	2	1	2	2	3.4	1.6	3.375	"Yes"
