"";"vars";"n";"mean";"sd";"se";"t_crit";"CI_low";"CI_upp"
"CO2CompMax";1;693;18,5652380952381;78,7640419693485;2,99199854237269;1,96339802403087;18,5045649103137;18,6259112801625
"rateAirplane";2;693;81,1284271284271;20,957828906275;0,796122087833855;1,96339802403087;81,0911088812212;81,165745375633
"ImportTime";3;693;62,4704184704185;20,4327687760012;0,776176702793197;1,96339802403087;62,4091562448822;62,5316806959548
"ImportPrice";4;693;67,0750360750361;22,4456343233898;0,852639142165244;1,96339802403087;66,9985535450117;67,1515186050604
"ImportComfort";5;693;50,8383838383838;23,4650736334076;0,891364439310328;1,96339802403087;50,7522474853183;50,9245201914494
"avgGuiltFeel";6;693;2,28860028860029;0,892259538598254;0,0338941371234225;1,96339802403087;2,2195711349035;2,35762944229707
"avgEnvironBelief";7;693;3,30634920634921;0,925530673812447;0,0351580030395812;1,96339802403087;3,23980152449485;3,37289688820357
"avgPersonal";8;693;3,50481859410431;0,488693259800766;0,0185639218662783;1,96339802403087;3,46837022659379;3,54126696161482
